pmid	status	method	filename	journal	year	author	doi	title	detail
34316759	ok	EuropePMC	34316759_Vendrik_2019.pdf	JACC Case Rep	2019	Vendrik	10.1016/j.jaccas.2019.05.026	Balloon-Expandable TAVR Prosthesis Dislocates Into the Ascending Aorta.	864 KB
34316815	ok	EuropePMC	34316815_Nour_2019.pdf	JACC Case Rep	2019	Nour	10.1016/j.jaccas.2019.06.034	Cardiogenic Shock Due to Late Chimney Stent Failure Following Valve-in-Valve Transcatheter Aortic Valve Replacement.	1262 KB
34316912	ok	EuropePMC	34316912_Conte_2019.pdf	JACC Case Rep	2019	Conte	10.1016/j.jaccas.2019.10.013	Plugging Paravalvular Leak in Transcatheter Aortic Valves.	1512 KB
34316932	ok	EuropePMC	34316932_Chan_Wah_Hak_2019.pdf	JACC Case Rep	2019	Chan Wah Hak	10.1016/j.jaccas.2019.11.007	Valve-in-Valve in a Flail Bioprosthetic Mitral Valve With Endocarditis Using a Novel Embolic Protection Device.	1445 KB
34316934	ok	EuropePMC	34316934_Abdel-Aal_Ahmed_2019.pdf	JACC Case Rep	2019	Abdel-Aal Ahmed	10.1016/j.jaccas.2019.11.009	Aortic Paravalvular Leak Repair: Can TAVR Be the Answer?	2156 KB
34316946	ok	EuropePMC	34316946_Alabbady_2019.pdf	JACC Case Rep	2019	Alabbady	10.1016/j.jaccas.2019.11.025	Aorto-Right Ventricular Fistula and Paravalvular Leak After Transcatheter Aortic Valve Implantation.	1663 KB
34317066	ok	EuropePMC	34317066_Kellogg_2020.pdf	JACC Case Rep	2020	Kellogg	10.1016/j.jaccas.2020.09.007	Percutaneous Management of a Contained Annular Rupture Occurring With Self-Expanding Transcatheter Aortic Valve Replacement.	1462 KB
34317168	ok	EuropePMC	34317168_Abu-Much_2020.pdf	JACC Case Rep	2020	Abu-Much	10.1016/j.jaccas.2020.10.023	Don't Trust the Imaging: Necrotic Bowel Following Transcatheter Aortic Valve Replacement Through Aortic Stent Graft.	1001 KB
34317241	ok	EuropePMC	34317241_Alasnag_2020.pdf	JACC Case Rep	2020	Alasnag	10.1016/j.jaccas.2020.01.021	3D Model Guiding Transcatheter Aortic Valve Replacement in a Patient With Aortic Coarctation.	1928 KB
34317258	ok	EuropePMC	34317258_Elison_2020.pdf	JACC Case Rep	2020	Elison	10.1016/j.jaccas.2020.01.017	TandemHeart-Assisted Balloon Aortic Valvuloplasty for Acute Transcatheter Aortic Valve Replacement Thrombosis.	350 KB
34317373	ok	EuropePMC	34317373_Spaccarotella_2020.pdf	JACC Case Rep	2020	Spaccarotella	10.1016/j.jaccas.2020.04.013	Common Calcified Femoral Artery Rupture After Intravascular Lithotripsy for TAVR Implantation.	896 KB
34317379	ok	EuropePMC	34317379_Alharbi_2020.pdf	JACC Case Rep	2020	Alharbi	10.1016/j.jaccas.2020.05.005	Axillary Artery Pseudoaneurysm Following Percutaneous Transaxillary Access for Impella Device Placement During Percutaneous Coronary Intervention.	546 KB
34317470	ok	EuropePMC	34317470_Le_Ruz_2021.pdf	JACC Case Rep	2021	Le Ruz	10.1016/j.jaccas.2020.11.024	Sapien 3 Embolization From Ventricle to Aorta in the Setting of Noncalcified Aortic Regurgitation.	1053 KB
34317621	ok	EuropePMC	34317621_Sammour_2021.pdf	JACC Case Rep	2021	Sammour	10.1016/j.jaccas.2021.02.040	Transcatheter Closure of Left Ventricular Outflow Tract-to-Left Atrium Fistula.	1333 KB
34766022	ok	EuropePMC	34766022_Yamaguchi_2021.pdf	JACC Case Rep	2021	Yamaguchi	10.1016/j.jaccas.2021.08.009	Rescue Percutaneous Stenting for Cerebral Malperfusion With Acute Aortic Dissection Following TAVR.	1258 KB
35493797	ok	EuropePMC	35493797_Batta_2022.pdf	JACC Case Rep	2022	Batta	10.1016/j.jaccas.2021.12.015	Strut Inversion During Valve-in-Valve Transcatheter Aortic Valve Replacement: An Unknown Complication?	627 KB
35573856	ok	EuropePMC	35573856_Noor_2022.pdf	JACC Case Rep	2022	Noor	10.1016/j.jaccas.2022.02.011	Polymer Emboli Complicating Transcatheter Aortic Valve Implantation: A Case Report.	1660 KB
35677788	ok	EuropePMC	35677788_Asmarats_2022.pdf	JACC Case Rep	2022	Asmarats	10.1016/j.jaccas.2022.03.031	Aortic Sinus Contrast Retention During TAVR: A Warning Sign Preceding a Potential Thrombotic Complication.	1045 KB
35734531	ok	EuropePMC	35734531_Patel_2022.pdf	JACC Case Rep	2022	Patel	10.1016/j.jaccas.2022.04.017	Synchronous Type 3 EVAR Endoleaks at Multiple Sites Following Transfemoral Transcatheter Aortic Valve Replacement.	1954 KB
36406923	ok	EuropePMC	36406923_Attisano_2022.pdf	JACC Case Rep	2022	Attisano	10.1016/j.jaccas.2022.07.038	Bioprosthetic Valve Fracture After TAVR Complicated by Balloon Rupture: Bail-Out TAVR in TAVR in SAVR.	1381 KB
36444183	ok	EuropePMC	36444183_El_Nihum_2022.pdf	JACC Case Rep	2022	El Nihum	10.1016/j.jaccas.2022.08.014	Surgical Salvage of Annular Rupture After Transcatheter Aortic Valve Implantation by Conversion Into Annular Enlargement.	1329 KB
36523949	ok	EuropePMC	36523949_Manevich_2023.pdf	JACC Case Rep	2023	Manevich	10.1016/j.jaccas.2022.101691	Thoracic Aorta Perforation Treated Conservatively After TAVR in a Patient With Extremely Tortuous Aorta.	672 KB
36776798	ok	EuropePMC	36776798_Keeton_2023.pdf	JACC Case Rep	2023	Keeton	10.1016/j.jaccas.2022.08.015	Innovative Approach to Manage Transcatheter Aortic Valve Embolization.	1901 KB
36974043	ok	EuropePMC	36974043_Kassis_2023.pdf	JACC Case Rep	2023	Kassis	10.1016/j.jaccas.2023.101762	Pure Aortic Regurgitation Complicated by Membranous Interventricular Septum Aneurysm Treated With Transcatheter Aortic Valve Replacement.	812 KB
37396320	ok	EuropePMC	37396320_Verhemel_2023.pdf	JACC Case Rep	2023	Verhemel	10.1016/j.jaccas.2023.101893	Left Ventricular Outflow Obstruction After Transcatheter Heart Valve Migration and Stent Infolding.	2040 KB
38094178	ok	EuropePMC	38094178_Elison_2023.pdf	JACC Case Rep	2023	Elison	10.1016/j.jaccas.2023.102069	Percutaneous Carotid Transcatheter Aortic Valve Implantation.	1233 KB
38094179	ok	EuropePMC	38094179_Koliastasis_2023.pdf	JACC Case Rep	2023	Koliastasis	10.1016/j.jaccas.2023.102065	Overcoming the Obstacle of Suicide Left Ventricle After Transcatheter Aortic Valve Replacement Phenomenon.	2854 KB
38264301	ok	EuropePMC	38264301_Torrado_2024.pdf	JACC Case Rep	2024	Torrado	10.1016/j.jaccas.2023.102157	Impact of VA-ECMO on Dynamic LV Outflow Obstruction After Transcatheter Aortic Valve Replacement.	935 KB
38264302	ok	EuropePMC	38264302_Masarweh_2024.pdf	JACC Case Rep	2024	Masarweh	10.1016/j.jaccas.2023.102165	Transcatheter Aortic Valve Replacement Complicated by Aorto-Right Ventricular Fistula Repaired Via Valve-in-Valve Replacement.	407 KB
38379661	ok	EuropePMC	38379661_Alirhayim_2024.pdf	JACC Case Rep	2024	Alirhayim	10.1016/j.jaccas.2023.102214	Late Migration of a Transcatheter Heart Valve.	3015 KB
38645284	ok	EuropePMC	38645284_Frittitta_2024.pdf	JACC Case Rep	2024	Frittitta	10.1016/j.jaccas.2024.102259	Late Third Transcatheter Aortic Valve Replacement for Treatment of Persistent Paravalvular Regurgitation.	1159 KB
38645286	ok	EuropePMC	38645286_Zendjebil_2024.pdf	JACC Case Rep	2024	Zendjebil	10.1016/j.jaccas.2024.102270	Transcatheter Aortic Valve Replacement for Sutureless Bioprosthetic Valve Tilting Resulting in Severe Paravalvular Leak.	527 KB
39295789	ok	EuropePMC	39295789_Kato_2024.pdf	JACC Case Rep	2024	Kato	10.1016/j.jaccas.2024.102455	What Is the Optimal Antithrombotic Therapy for Valsalva Thrombus Following Transcatheter Aortic Valve Replacement?	447 KB
39295795	ok	EuropePMC	39295795_Reisinger_2024.pdf	JACC Case Rep	2024	Reisinger	10.1016/j.jaccas.2024.102469	Perceval ViV-TAVR: Perception Is Not Always Reality.	1301 KB
39484326	ok	EuropePMC	39484326_Fang_2024.pdf	JACC Case Rep	2024	Fang	10.1016/j.jaccas.2024.102564	LAVA-ECMO-Supported Dual-Transcatheter Aortic and Mitral Valve-in-Valve Replacement in Cardiogenic Shock.	4354 KB
39619019	ok	EuropePMC	39619019_Chia_2024.pdf	JACC Case Rep	2024	Chia	10.1016/j.jaccas.2024.102655	Management of Aorto-Right Ventricular Fistulas After TAVR.	3121 KB
39619031	ok	EuropePMC	39619031_Bielichenko_2024.pdf	JACC Case Rep	2024	Bielichenko	10.1016/j.jaccas.2024.102690	Hybrid Approach to Post-Radiation Valve Disease: Robotic Mitral Valve Replacement Alongside Transcatheter Aortic Valve Replacement.	960 KB
39822806	ok	EuropePMC	39822806_Sturla_2025.pdf	JACC Case Rep	2025	Sturla	10.1016/j.jaccas.2024.102748	Clinical Presentation and Percutaneous Treatment of Hemolytic Anemia Associated With Paravalvular Leak After TAVR.	2088 KB
39963208	ok	EuropePMC	39963208_Ostojic_2025.pdf	JACC Case Rep	2025	Ostojic	10.1016/j.jaccas.2024.103125	ST-Segment Elevation Myocardial Infarction Caused by Embolized Transcatheter Aortic Valve in Ascending Aorta.	1955 KB
39963215	ok	EuropePMC	39963215_Huber_2025.pdf	JACC Case Rep	2025	Huber	10.1016/j.jaccas.2024.103128	Use of a Bare Metal Dissection Stent to Manage Aortic Embolization of a Self-Expanding Valve.	671 KB
39963231	ok	EuropePMC	39963231_Salem_2025.pdf	JACC Case Rep	2025	Salem	10.1016/j.jaccas.2024.103119	Mitral Valve Repair and SAVR After TAVR Complicated With Endocarditis and Mitral Valve Leaflet Perforation.	1176 KB
39963234	ok	EuropePMC	39963234_Vu_2025.pdf	JACC Case Rep	2025	Vu	10.1016/j.jaccas.2024.103120	Snare-Assisted Management of Nose Cone Entrapment During Self-Expandable Transcatheter Aortic Valve Replacement.	1575 KB
39972698	ok	EuropePMC	39972698_Zhang_2025.pdf	JACC Case Rep	2025	Zhang	10.1016/j.jaccas.2024.102933	Simultaneous TAVR and PBPV in Patient With Multiple Valve Disease.	3868 KB
39972705	ok	EuropePMC	39972705_Sambyal_2025.pdf	JACC Case Rep	2025	Sambyal	10.1016/j.jaccas.2024.102952	Rare Case of Early Mycotic Ascending Aortic Aneurysm Following Transcatheter Aortic Valve Replacement.	680 KB
40054911	ok	EuropePMC	40054911_Chatterjee_2025.pdf	JACC Case Rep	2025	Chatterjee	10.1016/j.jaccas.2024.103193	Percutaneous Management of Left Ventricular Perforation Causing Late Cardiac Tamponade After Transcatheter Aortic Valve Implantation.	881 KB
40054912	ok	EuropePMC	40054912_Jo_2025.pdf	JACC Case Rep	2025	Jo	10.1016/j.jaccas.2024.103112	Mavacamten for Left Ventricular Outflow Tract Obstruction After Successful Transcatheter Aortic Valve Implantation.	2134 KB
40118607	ok	EuropePMC	40118607_Tsutsui_2025.pdf	JACC Case Rep	2025	Tsutsui	10.1016/j.jaccas.2024.102967	Peri-Mitral Atrial Tachycardia Following Transcatheter Aortic Valve Replacement.	1296 KB
40118636	ok	EuropePMC	40118636_Golzarian_2025.pdf	JACC Case Rep	2025	Golzarian	10.1016/j.jaccas.2024.103200	Valve-in-Valve TAVR Complicated by Left Main Coronary Obstruction Salvaged by Left Atrial VA-ECMO.	1684 KB
40155119	ok	EuropePMC	40155119_Kanehama_2025.pdf	JACC Case Rep	2025	Kanehama	10.1016/j.jaccas.2025.103410	Progression of Paravalvular Leak and Hemolytic Anemia After Implantation of Fifth-Generation Balloon-Expandable Transcatheter Heart Valve.	1669 KB
40155144	ok	EuropePMC	40155144_Polat_2025.pdf	JACC Case Rep	2025	Polat	10.1016/j.jaccas.2025.103234	Strategic Prosthesis Selection for Staged TAVI and Minimally Invasive Mitral Valve Surgery in a High-Risk Patient.	892 KB
40155146	ok	EuropePMC	40155146_Annabathula_2025.pdf	JACC Case Rep	2025	Annabathula	10.1016/j.jaccas.2025.103545	Transcatheter Aortic Valve Replacement for Valvular Shock in an Extremely Large Annulus.	1985 KB
40185608	ok	EuropePMC	40185608_Davalan_2025.pdf	JACC Case Rep	2025	Davalan	10.1016/j.jaccas.2025.103376	Acute Iatrogenic Aortic Root Dissection With Pseudoaneurysm After Transcatheter Aortic Valve Implantation.	1362 KB
40250932	ok	EuropePMC	40250932_Nandhakumar_2025.pdf	JACC Case Rep	2025	Nandhakumar	10.1016/j.jaccas.2025.103673	Prosthetic Heart Valve Interactions and Their Clinical Significance During Transcatheter Left-Sided Double Valve Replacement.	1428 KB
40250941	ok	EuropePMC	40250941_Ghoneem_2025.pdf	JACC Case Rep	2025	Ghoneem	10.1016/j.jaccas.2024.103197	Buckling Under Pressure: Evolut FX Delivery System Malfunction and Failure to Recapture During TAVR.	1365 KB
40250946	ok	EuropePMC	40250946_Nandhakumar_2025.pdf	JACC Case Rep	2025	Nandhakumar	10.1016/j.jaccas.2025.103370	Prediction of Prosthetic Heart Valve Interaction During Transcatheter Double-Valve Replacement Using a Bench Model.	3778 KB
40252063	ok	EuropePMC	40252063_Tan_2025.pdf	JACC Case Rep	2025	Tan	10.1016/j.jaccas.2025.103922	One-Stop TEVAR and TAVR Procedure for Severe Aortic Stenosis With Aortic Arch Aneurysm.	1900 KB
40252065	ok	EuropePMC	40252065_Liu_2025.pdf	JACC Case Rep	2025	Liu	10.1016/j.jaccas.2025.103929	Procedural Strategies in Transcatheter Aortic Valve Replacement for Patients With Small Aortic Annulus and Aortic Stenosis.	3505 KB
40252068	ok	EuropePMC	40252068_Ma_2025.pdf	JACC Case Rep	2025	Ma	10.1016/j.jaccas.2025.103919	Unusual Case of Acute Type A Aortic Dissection During TAVR Bailout With a Self-Expanding Valve.	1334 KB
40252070	ok	EuropePMC	40252070_Sun_2025.pdf	JACC Case Rep	2025	Sun	10.1016/j.jaccas.2025.103928	Valve Dragging Technique in Valve Migration After Self-Expanding Transcatheter Aortic Valve Replacement.	1285 KB
40345731	ok	EuropePMC	40345731_Sava_2025.pdf	JACC Case Rep	2025	Sava	10.1016/j.jaccas.2025.103286	Orthotopic Left Main Chimney Stenting to Prevent Stent Compression After Transcatheter Aortic Valve Replacement.	859 KB
40379370	ok	EuropePMC	40379370_Qin_2025.pdf	JACC Case Rep	2025	Qin	10.1016/j.jaccas.2025.104020	Type 0 Severe Calcified Bicuspid Aortic Valve With Aneurysmal Repaired With TaurusElite.	1074 KB
40379374	ok	EuropePMC	40379374_Liang_2025.pdf	JACC Case Rep	2025	Liang	10.1016/j.jaccas.2025.104023	Transcatheter Aortic Valve Replacement in Severe Horizontal Heart With Acute Aortic Angulation.	1018 KB
40480763	ok	EuropePMC	40480763_Cavazza_2025.pdf	JACC Case Rep	2025	Cavazza	10.1016/j.jaccas.2025.103610	Transaxillary TAVR Complicated by Subclavian Pseudoaneurysm and Vertebral Artery Sacrifice.	1740 KB
40480773	ok	EuropePMC	40480773_Fang_2025.pdf	JACC Case Rep	2025	Fang	10.1016/j.jaccas.2025.103912	Do Not BASILICA the New Valve.	2995 KB
40541343	ok	EuropePMC	40541343_George_2025.pdf	JACC Case Rep	2025	George	10.1016/j.jaccas.2025.103768	A Novel Approach for Cerebral Embolic Protection With Single-Artery Access in TAVR.	2112 KB
40541354	ok	EuropePMC	40541354_Fern_ndez-Cord_n_2025.pdf	JACC Case Rep	2025	Fernández-Cordón	10.1016/j.jaccas.2025.103758	Left Ventricle Wire Loss During TAVR: How to Solve it Through Antegrade and Retrograde Approach.	2060 KB
40579075	ok	EuropePMC	40579075_Al-Dalakta_2025.pdf	JACC Case Rep	2025	Al-Dalakta	10.1016/j.jaccas.2025.104012	Radiation-Induced Cardiac Disease: Dilemma of Transcatheter Aortic Valve Replacement vs Surgical Aortic Valve Replacement and Pericardiectomy.	1728 KB
40589295	ok	EuropePMC	40589295_Ghoneem_2025.pdf	JACC Case Rep	2025	Ghoneem	10.1016/j.jaccas.2025.104669	First-in-Human BASILICA Before Valve-in-Valve TAVR in a Mechanically Expanded, Legacy Valve.	17132 KB
40615174	ok	EuropePMC	40615174_Heller_2025.pdf	JACC Case Rep	2025	Heller	10.1016/j.jaccas.2025.103886	From Severe Aortic Stenosis to Mitral TEER: Overcoming Surgical AVR Complicated With LVOTO.	1560 KB
40615221	ok	EuropePMC	40615221_Abdelfattah_2025.pdf	JACC Case Rep	2025	Abdelfattah	10.1016/j.jaccas.2025.103779	Obstructive Hypertrophic Cardiomyopathy and Aortic Stenosis With High Surgical Risk.	3274 KB
40615222	ok	EuropePMC	40615222_Kawamoto_2025.pdf	JACC Case Rep	2025	Kawamoto	10.1016/j.jaccas.2025.103913	Successful Emergency Transcatheter Aortic Valve Replacement for Severe Aortic Regurgitation in Takayasu's Arteritis.	3704 KB
40645715	ok	EuropePMC	40645715_Pennacchi_2025.pdf	JACC Case Rep	2025	Pennacchi	10.1016/j.jaccas.2025.103907	"Balloon-Expandable Transcatheter Heart Valve Dislocation Into the Left Ventricle Successfully Repositioned by an ""Anchoring Balloon""."	1393 KB
40645725	ok	EuropePMC	40645725_Jabagi_2025.pdf	JACC Case Rep	2025	Jabagi	10.1016/j.jaccas.2025.103885	Early TAVR Explantation Due to a Large Mobile Leaflet Mass and Severe Prosthetic Valve Stenosis.	1198 KB
40681254	ok	EuropePMC	40681254_Ackermann_2025.pdf	JACC Case Rep	2025	Ackermann	10.1016/j.jaccas.2025.104169	Subclinical Delayed Coronary Ostial Obstruction After Transcatheter Aortic Valve Replacement With a High-Frame Transcatheter Valve.	1390 KB
40713119	ok	EuropePMC	40713119_Olorunda_2025.pdf	JACC Case Rep	2025	Olorunda	10.1016/j.jaccas.2025.104154	Stabilization of Embolized Transcatheter Heart Valve With a Left Subclavian Artery Stent.	942 KB
40750137	ok	EuropePMC	40750137_Issany_2025.pdf	JACC Case Rep	2025	Issany	10.1016/j.jaccas.2025.104437	Delayed Migration of a Transcatheter Aortic Valve Into the Left Ventricular Outflow Tract.	7567 KB
40750151	ok	EuropePMC	40750151_Giustino_2025.pdf	JACC Case Rep	2025	Giustino	10.1016/j.jaccas.2025.104431	Balloon-Assisted Leaflet Laceration to Prevent Coronary Obstruction During TAVR: Step-by-Step Modified UNICORN.	12141 KB
40750182	ok	EuropePMC	40750182_Mengi_2025.pdf	JACC Case Rep	2025	Mengi	10.1016/j.jaccas.2025.104345	Live Hemodynamics-Assisted Simultaneous Aortic and Mitral Valve-in-Valve Replacement.	46396 KB
40780803	ok	EuropePMC	40780803_Kim_2025.pdf	JACC Case Rep	2025	Kim	10.1016/j.jaccas.2025.104565	Delayed Mitral Prosthesis Dehiscence Following Transcatheter Aortic Valve Replacement.	14667 KB
40944680	ok	EuropePMC	40944680_Vidoni_2025.pdf	JACC Case Rep	2025	Vidoni	10.1016/j.jaccas.2025.105350	Dual Percutaneous Repair for Aortic Annulus Rupture After Balloon-Expandable TAVR.	9342 KB
